Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,Monday,01,2016-01,30.22,30.39,29.95,30.31,39322421,23.76,0.0,23.76,23.76
2016-01-05,2016,1,5,Tuesday,01,2016-01,30.53,30.59,30.29,30.53,28777994,23.93,0.007198893522577077,23.845,23.845
2016-01-06,2016,1,6,Wednesday,01,2016-01,30.1,30.27,29.81,29.99,27242316,23.51,-0.017713005717170938,23.733333333333334,23.733333333333334
2016-01-07,2016,1,7,Thursday,01,2016-01,29.56,30.18,29.54,29.79,39223134,23.35,-0.006643700268383013,23.637500000000003,23.637500000000003
2016-01-08,2016,1,8,Friday,01,2016-01,29.93,30.01,29.34,29.41,34840286,23.06,-0.012738840498538129,23.522,23.522
2016-01-11,2016,1,11,Monday,02,2016-02,29.55,29.6,29.07,29.48,40717917,23.11,0.0022580890661734188,23.453333333333333,23.453333333333333
2016-01-12,2016,1,12,Tuesday,02,2016-02,29.77,29.89,29.15,29.41,40927031,23.06,-0.0022530015879216325,23.397142857142857,23.397142857142857
2016-01-13,2016,1,13,Wednesday,02,2016-02,29.5,29.68,28.72,28.81,42762888,22.59,-0.020322470703658224,23.29625,23.29625
2016-01-14,2016,1,14,Thursday,02,2016-02,28.83,29.81,28.83,29.52,40603031,23.14,0.02436621998162436,23.278888888888886,23.278888888888886
2016-01-15,2016,1,15,Friday,02,2016-02,28.67,29.24,28.65,29.23,49299269,22.92,-0.009643292876186038,23.243000000000002,23.243000000000002
2016-01-19,2016,1,19,Tuesday,03,2016-03,29.53,29.63,28.78,29.12,34508276,22.83,-0.003894809999625437,23.205454545454543,23.205454545454543
2016-01-20,2016,1,20,Wednesday,03,2016-03,28.66,29.48,28.52,29.09,52142223,22.8,-0.0009774679352414495,23.171666666666667,23.171666666666667
2016-01-21,2016,1,21,Thursday,03,2016-03,29.04,29.32,28.95,29.01,38528548,22.74,-0.0026092430234365693,23.138461538461538,23.138461538461538
2016-01-22,2016,1,22,Friday,03,2016-03,29.41,29.65,29.1,29.14,33142398,22.84,0.004251154027224979,23.117142857142856,23.117142857142856
2016-01-25,2016,1,25,Monday,04,2016-04,29.25,29.33,28.86,28.94,30313251,22.69,-0.006838236472999415,23.040714285714284,23.088666666666665
2016-01-26,2016,1,26,Tuesday,04,2016-04,28.97,29.17,28.79,29.1,27360786,22.81,0.005574106670287682,22.960714285714285,23.07125
2016-01-27,2016,1,27,Wednesday,04,2016-04,29.14,29.42,28.77,28.96,30059131,22.7,-0.0048910267435382515,22.90285714285714,23.04941176470588
2016-01-28,2016,1,28,Thursday,04,2016-04,29.13,29.14,28.07,28.65,51419917,22.46,-0.010485015794406749,22.839285714285715,23.016666666666666
2016-01-29,2016,1,29,Friday,04,2016-04,28.82,28.93,28.39,28.93,59794263,22.68,0.009602703807277235,22.812142857142856,22.998947368421053
2016-02-01,2016,2,1,Monday,05,2016-05,28.79,28.84,28.28,28.62,50036858,22.44,-0.010495164456259753,22.764285714285712,22.971
2016-02-02,2016,2,2,Tuesday,05,2016-05,28.62,28.79,28.04,28.6,50815553,22.42,-0.0009944001138303404,22.718571428571426,22.944761904761908
2016-02-03,2016,2,3,Wednesday,05,2016-05,28.38,28.53,27.65,28.15,47403334,22.3,-0.0051569009008027855,22.697857142857142,22.915454545454544
2016-02-04,2016,2,4,Thursday,05,2016-05,27.98,28.07,27.27,27.51,60009068,21.8,-0.022581770496536535,22.60214285714286,22.866956521739134
2016-02-05,2016,2,5,Friday,05,2016-05,27.53,27.91,27.36,27.54,41033906,21.82,0.0010342533871798842,22.523571428571426,22.823333333333334
2016-02-08,2016,2,8,Monday,06,2016-06,27.21,27.5,26.8,27.1,50082391,21.47,-0.016189883634719737,22.426428571428573,22.7692
2016-02-09,2016,2,9,Tuesday,06,2016-06,27.01,27.7,26.89,27.61,60214809,21.87,0.01890745700451779,22.360000000000003,22.734615384615385
2016-02-10,2016,2,10,Wednesday,06,2016-06,27.83,28.37,27.81,27.98,47121389,22.17,0.013402143122105192,22.319285714285712,22.713703703703704
2016-02-11,2016,2,11,Thursday,06,2016-06,27.52,27.84,27.41,27.64,41780771,21.9,-0.0122075745439304,22.25214285714286,22.684642857142855
2016-02-12,2016,2,12,Friday,06,2016-06,27.75,27.87,27.5,27.86,34300533,22.07,0.007895719119685785,22.207857142857144,22.66344827586207
2016-02-16,2016,2,16,Tuesday,07,2016-07,28.04,28.31,27.94,28.28,34329307,22.41,0.015326774185797865,22.179285714285715,22.654999999999998
2016-02-17,2016,2,17,Wednesday,07,2016-07,28.46,28.53,28.07,28.11,41224259,22.27,-0.006038266243992618,22.148571428571433,22.64258064516129
2016-02-18,2016,2,18,Thursday,07,2016-07,28.29,28.5,27.95,28.04,50788993,22.21,-0.002699881911210844,22.130714285714284,22.6290625
2016-02-19,2016,2,19,Friday,07,2016-07,28.08,28.13,27.69,27.98,41870045,22.17,-0.0020303503195844286,22.094285714285714,22.615151515151513
2016-02-22,2016,2,22,Monday,08,2016-08,28.23,28.53,28.13,28.51,41458458,22.59,0.018989407430295646,22.104999999999997,22.61441176470588
2016-02-23,2016,2,23,Tuesday,08,2016-08,28.52,28.82,28.42,28.43,33697118,22.52,-0.0029948510955407626,22.112142857142857,22.611714285714285
2016-02-24,2016,2,24,Wednesday,08,2016-08,28.28,28.54,28.01,28.48,33322210,22.56,0.0020023953872914113,22.130714285714287,22.610277777777778
2016-02-25,2016,2,25,Thursday,08,2016-08,28.56,29.12,28.48,29.02,54850265,22.99,0.018987361566513483,22.215714285714284,22.620540540540542
2016-02-26,2016,2,26,Friday,08,2016-08,29.2,29.32,28.48,28.68,45244004,22.72,-0.01176843287725371,22.28,22.623157894736842
2016-02-29,2016,2,29,Monday,09,2016-09,28.55,28.63,28.06,28.15,37091841,22.3,-0.018524566867124004,22.339285714285715,22.614871794871796
2016-03-01,2016,3,1,Tuesday,09,2016-09,28.26,28.55,28.1,28.5,33114256,22.58,0.012470394668478768,22.389999999999997,22.613999999999997
